age,gender,education,mental_illbeing_cause_1,mental_illbeing_cause_2,mental_illbeing_mechanism_1,mental_illbeing_mechanism_2,favorite_modern_feature_1,favorite_modern_feature_2,favorite_modern_feature_3,mothers_specific,fathers_specific,children_specific
20, male,High School,Social Media,loneliness, I think the leading cause is from social media because it lessons the amount people actually feel connected, I think the secoond leading cause is just loneliness because a lot of people probably have mental health problems because of this,phone,computer,work,I think for mothers its problem losing a child or worrying about their child, for fathers I think economics or money, for children it is most likely either school or food
24,male,bachelors,Work, lack of social support, In my opinion, the leading cause of the mental health epidemic is the fast-paced high-stress environment that many people find themselves in. This can lead to feelings of overwhelm, anxiety, and depression, The second-leading cause is the lack of social support and community. Without a strong support system, people can feel isolated and alone, which can exacerbate mental health issues, ease of information, technology, negativity on social media,The biggest factor that, in my opinion, harms the mental health of mothers specifically is the pressure to balance work and family responsibilities. Mothers are often expected to do it all, which can lead to feelings of overwhelm, exhaustion, and guilt, The biggest factor that, in my opinion, harms the mental health of fathers specifically is the pressure to be the breadwinner and provide for their family. This can lead to feelings of inadequacy, stress, and anxiety, The biggest factor that, in my opinion, harms the mental health of children specifically is the lack of quality time spent with their parents. With busy schedules and the prevalence of technology, children may not be getting the attention and support they need from their parents, which can lead to feelings of neglect and isolation
36, female,bachelors,Pandemic,job, I think the pandemic made a lot more people just overall stressed out at everything and with people not being able to go outside, everyone I talk to seems to be overally stressed out about their job and it always is a discussion of stress, food, technology, stress, Defintely kids and making sure I keep up with the beauty standard, I think a lot of dads stress out about being a good father in general, I think kids are mainly stressing out about being with parents and making friends
30, male,bachelors,kids, job, My kids are a big stressor for me and I feel like it is also a big stressor for a lot of others, My job is another huge stress hoping that I will not get laid-off, technology, AC, I think for the mother it is her kids or her jobs, I think for the father it is providing for the family, the children stressors are probably mainly about friends or school
65, female,High School, physical health, phones, I think physical health because of covid I know a lot of my friends were worried or stressed out about covid, phones has got to do something to your mental health and it is most likely in a negative way, TV, music, phones, I think for mothers its making sure the kids are doing good and the house is doing good, For fathers it is most likely making sure the family is supported, for kids its probably about having a phone
21, male, High School, social media, poor parenting, I think social media being allowed for younger children just leads to a lot of negative thoughts, I think with poor parenting parents are teaching their kids how to cope properly and be independent, Free Information, computers, economy, For mothers their stressors are most likely more linked to their kids and life as a whole because of misogyny, For fathers I think it is providing for the family or goals, for kids I think it is food
19, male, High SChool, social media, discussing mental health taboo In my experience the leading cause of widespread mental health epidemics relates to the growth of social media and the internet. People are finding more ways to be interconnected which can be great in many senses but also work out negatively. A lot of comparison and self-critique is done through social media. Individuals may see glamorous posts or others living their dream lives and feel a sense of emptiness or pity for themselves. This leads to a lot of self-doubt and anxiety about whether an individual is making the right choices in their life. Instead of focusing on improving themselves and being the best version of themselves it is a race to beat others and show off these accomplishments, The second-leading cause of this collective increase is that discussion of mental health can be considered as taboo in many cultures and a sign of weakness. Whereas it is easy to see a physical injury and how that can affect someone, mental injuries do not manifest in plain sight and can be much more difficult to empathize with. Repressing these emotions and not having an outlet to discuss certain issues can cause these symptoms to be worse. Bottling up emotions can result in long-term trauma , opportunities, family, lack of empathy, We live in a patriarchal society that is dominated by the decisions of men. Mothers are not represented in this system, Fathers are often expected to work hard and not show emotion. Their jobs are very thankless and a lot of the praise is given to mothers in the upbringing of a child , There is a disconnect between older and newer generations regarding mental health. A lot of parents have a mentality that mental health issues are not a real thing or can easily be toughed out. This leads to children being fearful of being seen as weak by disclosing their issues or just repressing their emotions altogether
47, female, Doctorate, ACE's, Increased illicit drug use and addiction, ACE’s can cause anxiety and depression due to the increased stress at a young age without having the developed coping mechanisms in place.  Not having a safe place in childhood to develop those coping mechanisms leads to poor outcomes. ,Increase in illicit drug use and addiction – SUD causes nervousness restlessness panic and paranoia.  SUD causes changes in neurotransmitters that leads to increases in mental health disorders, access to food and comfort, ability to quickly travell, social media,  Pressures from outsiders on them.  How we feed babies education dressing them etc.  Also being the best mom while working a full-time job.  Families today need two incomes to provide and mothers are often left feeling like they are lacking in their mothering when they have to work full-time. , Providing a stable home environment for their family , They are learning the falsehoods of life, not reality.  They are not outside playing and learning how to navigate relationships.  They are navigating relationships via social media that is not reality.
20, male, High School, social media, pandemic, Social media defintely creates a negative image for a lot of people and ultimately created fake relationships, the pandemic was hard on everyone and it affected so many people negatively, information, food, phones, I think mothers stress a lot of gender sterotypes and helping their kids, fathers stress is more coordinated to work  carreer, Child stress is most likely school and social media
59, male, bachelolrs, current life situations, PTSD,  Current life situations – trying to make ends meet with rising costs of living increases stress and anxiety,  Many men and women have spent the last few decades at war and then they are required to adjust back to civilian life, The ease to obtain modern amenities such as shelter electricity food, The diverse activities that are readily available such as cultural musical sporting and theatrical events, The damage we are causing to our environment and planet as a whole, The ability to provide for a family as a single parent.  Many women are raising their children alone without financial or emotional support from the father, Pressures from being able to juggle the rigorous and competitive work environment and also spending quality time with the family and maintaining a healthy social and recreational life, Social media.  The online bullying that goes on is horrendous.
